chain,meal_name,price,calories,protein,carbohydrates,fat,sodium,allergens,protein_density,carb_protein_ratio,sodium_per_calorie,price_per_protein,health_score,protein_category
McDonald's,Spicy McCrispy™,0,320,29,38,30,738,"[""Wheat"",""Eggs""]",9.06,1.31,2.31,0,-8.83,medium
McDonald's,Big Mac®,0,551,26,45,31,969,"[""Wheat"",""Milk"",""Soy"",""Sesame""]",4.72,1.73,1.76,0,-4.54,medium
McDonald's,Chicken McNuggets®,0,282,26,13,21,833,"[""Wheat"",""Sesame""]",9.22,0.5,2.95,0,-8.93,medium
McDonald's,Quarter Pounder®* with Cheese,0,522,30,45,25,1177,"[""Wheat"",""Milk"",""Soy"",""Sesame"",""Eggs""]",5.75,1.5,2.25,0,-5.53,high
McDonald's,McCafé® Iced Coffee,0,79,0,78,1,9,"[""Wheat"",""Soybeans""]",0,,0.11,,0.01,low
McDonald's,Egg McMuffin®,0,311,20,30,15,844,"[""Wheat"",""Milk"",""Eggs""]",6.43,1.5,2.71,0,-6.16,medium
McDonald's,Sausage Burrito,0,306,14,26,18,806,"[""Wheat"",""Milk"",""Eggs"",""Soybeans""]",4.58,1.86,2.63,0,-4.32,low
McDonald's,"Bacon, Egg  & Cheese Biscuit",0,478,19,34,22,886,"[""Wheat"",""Soy"",""Sesame"",""Tree Nuts""]",3.97,1.79,1.85,0,-3.79,medium
McDonald's,Egg McMuffin®,0,304,20,31,14,849,"[""Wheat"",""Milk"",""Eggs""]",6.58,1.55,2.79,0,-6.3,medium
McDonald's,Sausage McMuffin®,0,412,16,32,25,849,"[""Wheat"",""Milk""]",3.88,2,2.06,0,-3.67,medium
Walmart,Great Value Rotisserie Chicken,14,369,41,1,23,534,"[""Shellfish""]",11.11,0.02,1.45,0.34,-10.96,high
Walmart,Marketside Caesar Salad,8,201,10,13,17,425,"[""Milk"",""Eggs"",""Fish"",""Wheat"",""Soybeans""]",4.98,1.3,2.11,0.8,-4.77,low
Walmart,Fresh Baked French Bread,7,155,7,34,2,306,"[""Wheat"",""Peanuts"",""Shellfish""]",4.52,4.86,1.97,1,-4.32,low
Walmart,Deli Turkey Sandwich,8,354,20,41,14,1198,"[""Wheat"",""Milk""]",5.65,2.05,3.38,0.4,-5.31,medium
Walmart,Marketside Pizza,10,300,17,38,15,798,"[""Wheat"",""Milk"",""Eggs""]",5.67,2.24,2.66,0.59,-5.4,medium
Walmart,Freshness Guaranteed Sushi,5,356,10,61,6,537,"[""Fish"",""Shellfish"",""Soy"",""Peanuts"",""Wheat""]",2.81,6.1,1.51,0.5,-2.66,low
Walmart,Great Value Mac & Cheese,8,339,16,40,16,725,"[""Wheat"",""Milk"",""Sesame""]",4.72,2.5,2.14,0.5,-4.51,medium
Walmart,Marketside Chicken Noodle Soup,6,129,10,18,3,887,"[""Wheat"",""Peanuts"",""Fish""]",7.75,1.8,6.88,0.6,-7.06,low
Walmart,Fresh Fruit Bowl,7,101,2,28,0,0,[],1.98,14,0,3.5,-1.98,low
Walmart,Bakery Chocolate Chip Cookies,13,220,4,29,12,244,"[""Wheat"",""Milk"",""Eggs"",""Soy""]",1.82,7.25,1.11,3.25,-1.71,low
Taco Bell,Crunchy Taco Supreme,5,304,20,27,23,729,"[""Wheat"",""Peanuts"",""Sesame""]",6.58,1.35,2.4,0.25,-6.34,medium
Taco Bell,Cheesy Gordita Crunch,13,495,29,44,24,540,"[""Wheat"",""Milk""]",5.86,1.52,1.09,0.45,-5.75,medium
Taco Bell,Chalupa Supreme,11,478,21,38,21,687,"[""Wheat""]",4.39,1.81,1.44,0.52,-4.25,medium
Taco Bell,Quesarito,8,383,25,41,17,422,"[""Wheat"",""Gluten""]",6.53,1.64,1.1,0.32,-6.42,medium
Taco Bell,Crunchwrap Supreme,8,409,28,33,24,461,"[""Wheat"",""Tree Nuts"",""Soybeans""]",6.85,1.18,1.13,0.29,-6.74,medium
Taco Bell,Beefy 5-Layer Burrito,12,357,25,30,14,729,"[""Wheat"",""Shellfish""]",7,1.2,2.04,0.48,-6.8,medium
Taco Bell,Nachos BellGrande,6,428,21,40,16,546,"[""Wheat"",""Tree Nuts""]",4.91,1.9,1.28,0.29,-4.78,medium
Taco Bell,Mexican Pizza,7,297,12,41,12,786,"[""Wheat"",""Milk"",""Eggs""]",4.04,3.42,2.65,0.58,-3.77,low
Taco Bell,Doritos Locos Taco,11,499,17,21,18,758,"[""Wheat"",""Peanuts""]",3.41,1.24,1.52,0.65,-3.26,medium
Taco Bell,Quesadilla,8,324,18,28,19,642,"[""Wheat"",""Milk""]",5.56,1.56,1.98,0.44,-5.36,medium
Subway,Italian B.M.T.,11,505,26,48,14,691,"[""Wheat"",""Shellfish"",""Tree Nuts""]",5.15,1.85,1.37,0.42,-5.01,medium
Subway,Turkey Breast Sub,7,423,15,40,15,1074,"[""Wheat"",""Soy""]",3.55,2.67,2.54,0.47,-3.3,medium
Subway,Meatball Marinara,13,331,28,38,21,651,"[""Wheat"",""Soybeans""]",8.46,1.36,1.97,0.46,-8.26,medium
Subway,Spicy Italian,6,515,25,57,14,685,"[""Wheat""]",4.85,2.28,1.33,0.24,-4.72,medium
